name,locale,localeId,status,url
Ninux,Italy,http://www.geonames.org/3175395,active,http://ninux.org/
Freifunk,Germany,http://www.geonames.org/2921044,active,http://freifunk.net/
AWMN,Greece,http://www.geonames.org/390903,active,http://www.awmn.net/
Funkfeuer,Austria,http://www.geonames.org/2782113,active,https://funkfeuer.at
wlan slovenija,Slovenia,http://www.geonames.org/3190538,active,http://wlan-si.net/en/
Altermundi,Argentina,http://www.geonames.org/3865483,active,http://altermundi.net/
Personal Telco Project,Portland Oregon,http://www.geonames.org/5746545,active,https://personaltelco.net/
CassCo WiFi,Detroit Michigan,http://www.geonames.org/4990729,active,https://www.alliedmedia.org/dctp/casscowifi
Red Hook Wifi,Brooklyn New York,http://www.geonames.org/5110302,active,http://redhookwifi.org/
NYC Mesh,New York City,http://www.geonames.org/5128581,active,https://nycmesh.net/
People's Open,Oakland California,http://www.geonames.org/5378538,active,https://www.peoplesopen.net/
PittMesh,Pittsburg Pennsylvania,http://www.geonames.org/5206379,active,http://www.pittmesh.org/
Guifi,Barcelona Catelonia,http://www.geonames.org/3128760,active,http://guifi.net/en
MyrthleTown.net,Myrtletown California,http://www.geonames.org/5568514,active,http://www.myrtletown.net/wifi.php
Buenos Aires Libre,Argentina,http://www.geonames.org/3435910,inactive,https://web.archive.org/web/20120206144709/http://buenosaireslibre.org/
ChicagoMeshnet,Chicago Illinois,http://www.geonames.org/4887398,forming,http://karmanebula.com/chicagomeshnet/
Bogota Mesh,Colombia,http://www.geonames.org/3688689,inactive,https://web.archive.org/web/20150224151844/http://www.bogota-mesh.org/
MileMesh,Hoboken New Jersey,http://www.geonames.org/5099133,inactive,https://web.archive.org/web/20150403232635/http://www.milemesh.com:80/
LUGRo-Mesh,Rosario Argentina,http://www.geonames.org/3838583,inactive,https://web.archive.org/web/20160423122303/http://nightwing.lugro-mesh.org.ar:80/en/
SoCalFreeNet,San Diego California,http://www.geonames.org/5391811,inactive,https://web.archive.org/web/20081226025711/http://socalfreenet.org:80/
Roofnet,Massachussets,http://www.geonames.org/6254926,inactive,http://en.wikipedia.org/wiki/Roofnet
NetEquality,Portland Oregon,http://www.geonames.org/5746545,inactive,http://www.netequality.org/
CUWiN,Campaign-Urbana Illinois,http://www.geonames.org/4914570,inactive,http://en.wikipedia.org/wiki/Champaign-Urbana_Community_Wireless_Network
SFLAN,San Francisco California,http://www.geonames.org/5391959,inactive,http://archive.org/web/sflan.php
NoCat,Sebastepol California,http://www.geonames.org/5394165,inactive,http://web.archive.org/web/20121110234219/http://nocat.net/
